calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Released,2021-09-06,Sweaty Fatty Makes You Lick Her Crevices,released,,-1774,1775,Video 0144,Video,ModelCentro,1,14.99,10.11,,,10.11,0.01,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2021-09-17,Spread and Begging for Anal,released,,-1763,1764,Video 0145,Video,"ManyVids, ModelCentro",2,24.97,15.8,,,15.8,0.01,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2021-09-23,Feedee BBW Wants to Stop Gaining POV,released,,-1757,1758,Video 0146,Video,ManyVids,2,31.97,19.18,,9.59,19.18,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2021-09-26,Donut Stuffing and Glass Dildo Riding,released,,-1754,1755,Video 0147,Video,ModelCentro,1,11.99,8.09,,,8.09,0.0,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2021-10-02,Masturbating Together,released,,-1748,1749,Video 0148,Video,Clips4Sale,1,8.5,5.1,,,,0.0,master content release date,high,,Clips4Sale,,,,,,,content_group_summary
Released,2021-10-09,Dripping On Your Face,released,,-1741,1742,Video 0149,Video,ManyVids,1,13.98,8.39,,,8.39,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2021-10-19,Fat Naked Yoga,released,,-1731,1732,Video 0150,Video,ManyVids,1,12.98,7.79,,,7.79,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2021-10-25,Fat Tease and Fucking,released,,-1725,1726,Video 0151,Video,ManyVids,1,13.98,8.39,,,8.39,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2021-11-14,Fat Party Girl Gets the Wrong Room,released,,-1705,1706,Video 0153,Video,"ManyVids, ModelCentro",6,71.91,44.94,,7.19,44.94,0.03,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2021-12-26,Hiding from the Holiday Party,released,,-1663,1664,Video 0158,Video,ManyVids,1,13.98,8.39,,,8.39,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2022-01-28,Jean Shorts Face-Sitting,released,,-1630,1631,Video 0159,Video,ManyVids,1,10.98,6.59,,,6.59,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2022-02-16,Side-view Sucking and Riding,released,,-1611,1612,Video 0160,Video,ManyVids,1,12.98,7.79,,,7.79,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2022-03-29,POV Morning Sex,released,,-1570,1571,Video 0162,Video,"ManyVids, ModelCentro",4,49.94,30.78,,15.2,30.78,0.02,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2022-05-07,Kneel and Eat My Fat Pussy,released,,-1531,1532,Video 0163,Video,"ManyVids, ModelCentro",3,49.96,31.17,,,31.17,0.02,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2022-11-29,BBW Catwalk Bounce and Tease in Heels,released,,-1325,1326,Video 0165,Video,ManyVids,1,16.98,10.19,,,10.19,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-01-17,Milkshake and Soda Bloated Belly Belching,released,,-1276,1277,Video 0171,Video,Curvage,3,42.04,31.06,,8.04,31.06,0.02,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2023-03-15,Bouncing on Your Cock,released,,-1219,1220,Video 0174,Video,ManyVids,1,13.98,8.39,,,8.39,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
