platform,surface,item_id,label,canonical_content_id,canonical_title,content_group,mapping_status,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,sales,gross,net,source_file
Clips4Sale,C4S title snapshot,30335991,Gaining SSBBW Measurements and Weigh-In,Video 0258,Measurements and Weigh-In,Video,mapped,2025-01-06,2025-01-06,2024-12-18,master content release date,high,release date,supplemental lifetime title snapshot,1.0,34.98,20.99,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24415359,Red Satin Shorts Fat Booty Worship,Video 0116,Red Satin Shorts Fat Booty Worship,Video,mapped,2021-01-18,2021-01-18,2020-11-29,master content release date,high,release date,supplemental lifetime title snapshot,5.0,34.92,20.95,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29016135,Unaware SSBBW Smokes and Outgrows Clothes,Video 0229,Unaware SSBBW Smokes and Outgrows Clothes,Video,mapped,2024-05-01,2024-05-01,2024-04-24,master content release date,high,release date,supplemental lifetime title snapshot,2.0,33.97,20.38,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,26444825,Fat Girl Sucks and Rides Dildo,Video 0160,Side-view Sucking and Riding,Video,mapped,2022-08-04,2022-08-04,2022-02-16,master content release date,high,release date,supplemental lifetime title snapshot,5.0,32.5,19.5,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28832493,SSBBW Oil Play and Fat Jiggling,Video 0220,Bouncing My Oiled-Up Fat,Video,mapped,2024-03-24,2024-03-24,2024-03-23,master content release date,high,release date,supplemental lifetime title snapshot,2.0,31.97,19.18,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28153391,Fat Witch Needs Your Cum for Her Potion,Video 0201,Witch's Brew,Video,mapped,2023-10-21,2023-10-21,2023-10-18,master content release date,high,release date,supplemental lifetime title snapshot,2.0,31.97,19.18,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27461085,Fatty Stuffs T Bell and Weighs In,Video 0176,Stuffing My Face with Fast Food,Video,mapped,2023-04-25,2023-04-25,2023-04-25,master content release date,high,release date,supplemental lifetime title snapshot,3.0,28.5,17.1,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,25704201,Fat Naked Yoga,Video 0150,Fat Naked Yoga,Video,mapped,2021-12-05,2021-12-05,2021-10-19,master content release date,high,release date,supplemental lifetime title snapshot,4.0,28.0,16.8,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,31534051,Chargeback Forgiveness 106267173,exact-title:chargeback-forgiveness-106267173,Chargeback Forgiveness 106267173,Video,auto exact-title,2025-07-21,2025-07-21,2025-07-21,C4S date added,medium,release date,supplemental lifetime title snapshot,1.0,27.98,16.79,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,26444807,Denim Shorts BBW Ass Worship,Video 0159,Jean Shorts Face-Sitting,Video,mapped,2022-08-01,2022-08-01,2022-01-28,master content release date,high,release date,supplemental lifetime title snapshot,5.0,27.5,16.5,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27929649,Fatty Chugs Three Large Milkshakes,Video 0192,Fatty Chugs Three Large Milkshakes,Video,mapped,2023-08-31,2023-08-31,2023-08-24,master content release date,high,release date,supplemental lifetime title snapshot,1.0,26.98,16.19,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27080333,SSBBW Bloats and Burps with Milkshake and Soda,Video 0171,Milkshake and Soda Bloated Belly Belching,Video,mapped,2023-01-17,2023-01-17,2023-01-17,master content release date,high,release date,supplemental lifetime title snapshot,4.0,26.0,15.6,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
