message_id,message_type,date,clean_item_label,price_tier,price,purchases,sent,viewed,view_rate,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,source_file
pdf-message-2a1c51bc5847a063,group,2024-03-22,😍 Here's a little discount because I know you're gonna love seeing this fat body covered in oil! NEW,$11.99,11.99,12,1839,1031,0.5606,0.0116,143.88,115.1,0.1396,0.1116,111.64,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-945d4d0c329b1b80,group,2023-12-30,🧼 😘 My fat looks incredible dripping with suds! Make sure you grab it with this special discount! NEW,$11.99,11.99,9,1298,796,0.6133,0.0113,107.91,86.33,0.1356,0.1085,108.45,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-a9a5a4039dc3d466,group,2026-03-11,"You're feast for two turned into a stuffing all for your girlfriend! You can tell all that food really did a number on her stomach when you start gling. First the burps start erupting, but she can't hold back her farts as she lays back for",$19.99,19.99,20,7238,2968,0.4101,0.0067,399.8,319.84,0.1347,0.1078,107.76,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-6a09616c6fbd6d7d,group,2024-04-24,OnlyFans message 69,$11.99,11.99,17,2591,1532,0.5913,0.0111,203.83,163.06,0.133,0.1064,106.44,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-2ae614325c192b1b,group,2024-07-10,🤰 I want you to get me pregnant and make this body grow so fat! NEW,$8.99,8.99,30,3548,2034,0.5733,0.0147,269.7,215.76,0.1326,0.1061,106.08,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-f1f82c95187f934e,group,2025-07-28,"You catch me waking from a nap, my body eenngguullfifinngg the bed as it squeaks in protest. I light a cigarette, then wrestle with a long-forgotten es my arms and pops my belly free no matter how I tug. Flopping back, I smoke, squeeze, and",$18.99,18.99,19,6328,2773,0.4382,0.0069,360.81,288.65,0.1301,0.1041,104.09,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-ddf82e1641bff50b,group,2025-03-10,"You've tried and tried to get me to go to the gym and I finally agree! But when I get home my clothes are in tatters and I have a sack of fast 🤤 🍔 🥤 my face with. I'm not meant for the gym, I'm meant to be a fat greedy pig! NEW",$19.99,19.99,16,5217,2500,0.4792,0.0064,319.84,255.87,0.1279,0.1023,102.35,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-ade8452322af7aa3,group,2024-07-03,"🤭 😘 She's so skinny, you and I both know she'll never satisfy you. That's why you're crawling back to your SSBBW mistress! NEW",$8.99,8.99,29,3505,2047,0.584,0.0142,260.71,208.57,0.1274,0.1019,101.89,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-94ca03b1dbb4ea2b,group,2024-06-21,"You've turned your girlfriend into a giantess using the power of orgasms, and she wants to get even bigger! Slide between these plump pussy 🤤 🤤 her grind you until you're covered in cum! NEW",$8.99,8.99,29,3348,2052,0.6129,0.0141,260.71,208.57,0.1271,0.1016,101.64,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-586fcb4dca9ba364,group,2024-10-27,"Your ex has a request, but it's not what you expect... She wants you to get her pregnant, no strings attached. Unlock if you would breed her. NEW",$10.99,10.99,23,4556,1998,0.4385,0.0115,252.77,202.22,0.1265,0.1012,101.21,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-28b2ead24d292562,group,2024-12-06,"We've been so focused on my gain lately, I'm blowing up like a balloon! But I noticed your putting on a little weight too, and I wanna make you 🍩 Would you let me stuff these donuts in your face? NEW",$24.99,24.99,12,4840,2385,0.4928,0.005,299.88,239.9,0.1257,0.1006,100.59,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
