rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net
162,unmapped:onlyfans:you-re-too-sweet-ok-wait-you-ve-gotta-see-this-one-i-got-way-too-turne,You're too sweet.. ok wait.. You've gotta see this one. I got way too turned on after that chat and ended up showing a lot more skin than I meant to 😏,,OnlyFans,OF direct message,1,10.0,8.0,8.0,2026-04-06,OF message sent date,medium,108,0.01,0.07,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,10.0,8.0,0,0.0,0.0
163,unmapped:onlyfans:this-thong-s-fighting-for-its-life-trying-to-cover-me-wanna-see-how-mu,"This thong's fighting for its life trying to cover me 🤭 wanna see how much I'm spilling out of it, John?",,OnlyFans,OF direct message,1,10.0,8.0,8.0,2026-03-29,OF message sent date,medium,116,0.01,0.07,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,10.0,8.0,0,0.0,0.0
164,unmapped:onlyfans:what-if-we-hung-out-and-i-ate-all-your-leftovers,What if we hung out and I ate all your leftovers? 🤤🥡,,OnlyFans,OF post,0,10.0,8.0,,2026-06-29,OF post date,medium,24,0.0,0.33,2026-06-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.0,8.0,0,0.0,0.0
165,Video 0151,Fat Naked Yoga,Video,ManyVids,ManyVids transaction,1,12.98,7.79,7.79,2021-10-19,master content release date,high,1738,0.0,0.0,2026-06-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,12.98,7.79,0,0.0,0.0,0,0.0,0.0
166,Video 0161,Side-view Sucking and Riding,Video,ManyVids,ManyVids transaction,1,12.98,7.79,7.79,2022-02-16,master content release date,high,1618,0.0,0.0,2026-06-27,mapped,1,0,0.0,0.0,0,0.0,0.0,1,12.98,7.79,0,0.0,0.0,0,0.0,0.0
167,Video 0143,Cumming is the Best Exercise,Video,ModelCentro,ModelCentro transaction,1,10.99,7.41,7.41,2021-08-29,master content release date,high,1789,0.0,0.0,2026-01-01,mapped,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,10.99,7.41
168,Video 0095,Huge Twerking Ass and Dripping Chubby Pussy,Video,ManyVids,ManyVids transaction,1,11.98,7.19,7.19,2020-07-13,master content release date,high,2201,0.0,0.0,2026-06-27,mapped,1,0,0.0,0.0,0,0.0,0.0,1,11.98,7.19,0,0.0,0.0,0,0.0,0.0
169,Video 0097,Tight Dress Belly Bouncing,Video,ManyVids,ManyVids transaction,2,11.97,7.18,3.59,2020-07-26,master content release date,high,2188,0.0,0.0,2026-05-26,mapped,2,0,0.0,0.0,0,0.0,0.0,2,11.97,7.18,0,0.0,0.0,0,0.0,0.0
170,unmapped:modelcentro:red-couch-fuck,Red Couch Fuck,,ModelCentro,ModelCentro transaction,1,9.99,6.74,6.74,2026-02-09,sale date,low,164,0.01,0.04,2026-02-09,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.99,6.74
171,Video 0105,Spying on Your Hot Roommate,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-09-14,master content release date,high,2138,0.0,0.0,2026-05-31,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
172,Video 0114,Ass Clapping and Dildo Riding,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-11-17,master content release date,high,2074,0.0,0.0,2026-05-16,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
173,Video 0160,Jean Shorts Face-Sitting,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2022-01-28,master content release date,high,1637,0.0,0.0,2026-05-05,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
174,Video 0241,Teasing You in My Mini Skirt,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2024-06-07,master content release date,high,776,0.0,0.01,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
175,Video 0110,Solo Shower Sex,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-10-18,master content release date,high,2104,0.0,0.0,2026-04-06,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
176,Video 0104,Oiled BBW Slides Naked on Air Mattress,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-09-14,master content release date,high,2138,0.0,0.0,2026-04-06,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
177,Video 0069,Fatty in the Shower,Video,ManyVids,ManyVids transaction,1,9.98,5.99,5.99,2020-01-14,master content release date,high,2382,0.0,0.0,2026-06-04,mapped,1,0,0.0,0.0,0,0.0,0.0,1,9.98,5.99,0,0.0,0.0,0,0.0,0.0
178,Video 0098,Cover You In Cum POV,Video,Clips4Sale,C4S title snapshot,1,9.98,5.99,5.99,2020-08-02,master content release date,high,2181,0.0,0.0,2020-11-11,mapped,1,1,9.98,5.99,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
179,Video 0041,I Need V-day Dick,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-02-18,master content release date,high,2712,0.0,0.0,2026-06-04,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
180,Video 0049,Sexy Soft Curves,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-07-26,master content release date,high,2554,0.0,0.0,2026-06-04,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
181,Video 0062,50 Wing Binge,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-11-19,master content release date,high,2438,0.0,0.0,2026-07-11,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
182,Video 0063,Juicy Pussy Play,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-11-19,master content release date,high,2438,0.0,0.0,2026-07-17,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
183,Video 0057,Touring My Fat Jiggly Body,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-10-23,master content release date,high,2465,0.0,0.0,2026-04-17,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
184,Video 0031,Hitachi Makes Me Squirt,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2018-06-20,master content release date,high,2955,0.0,0.0,2026-03-07,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
185,unmapped:onlyfans:wanna-see-how-good-it-looks-with-those-panties-peeled-off,Wanna see how good it looks with those panties peeled off? 😏,,OnlyFans,OF direct message,1,7.0,5.6,5.6,2026-05-01,OF message sent date,medium,83,0.01,0.07,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.0,5.6,0,0.0,0.0
